"participant","phoneme","feature","muscle","repetition","value"
"volunteer 1","A","RMS","OOS","1",7.70973096819698
"volunteer 2","A","RMS","OOS","1",4.94762426328546
"volunteer 3","A","RMS","OOS","1",13.0338705416828
"volunteer 4","A","RMS","OOS","1",10.1933354602386
"volunteer 5","A","RMS","OOS","1",7.632414685671
"volunteer 1","E","RMS","OOS","1",8.61780646759978
"volunteer 2","E","RMS","OOS","1",5.27979541111654
"volunteer 3","E","RMS","OOS","1",16.3634477181222
"volunteer 4","E","RMS","OOS","1",9.99250946228876
"volunteer 5","E","RMS","OOS","1",5.97663739046685
"volunteer 1","I","RMS","OOS","1",6.62234520316644
"volunteer 2","I","RMS","OOS","1",13.799036041651
"volunteer 3","I","RMS","OOS","1",15.6466511409458
"volunteer 4","I","RMS","OOS","1",8.56516714455942
"volunteer 5","I","RMS","OOS","1",12.2652734227038
"volunteer 1","O","RMS","OOS","1",19.2155893614795
"volunteer 2","O","RMS","OOS","1",30.1909825061479
"volunteer 3","O","RMS","OOS","1",17.1556800957548
"volunteer 4","O","RMS","OOS","1",19.098284939041
"volunteer 5","O","RMS","OOS","1",25.8332381505047
"volunteer 1","U","RMS","OOS","1",22.653319362696
"volunteer 2","U","RMS","OOS","1",63.3473312342435
"volunteer 3","U","RMS","OOS","1",21.0061636447645
"volunteer 4","U","RMS","OOS","1",32.633997049973
"volunteer 5","U","RMS","OOS","1",61.4795122064967
"volunteer 1","A","MAV","OOS","1",5.50118524899668
"volunteer 2","A","MAV","OOS","1",3.82076115342855
"volunteer 3","A","MAV","OOS","1",10.2489668410763
"volunteer 4","A","MAV","OOS","1",7.54633860953021
"volunteer 5","A","MAV","OOS","1",5.56564464644618
"volunteer 1","E","MAV","OOS","1",6.30647476344351
"volunteer 2","E","MAV","OOS","1",4.00324310269769
"volunteer 3","E","MAV","OOS","1",12.4293484552834
"volunteer 4","E","MAV","OOS","1",7.24527171911332
"volunteer 5","E","MAV","OOS","1",4.50873160016255
"volunteer 1","I","MAV","OOS","1",5.07410111750685
"volunteer 2","I","MAV","OOS","1",9.75364805664372
"volunteer 3","I","MAV","OOS","1",11.7805621890156
"volunteer 4","I","MAV","OOS","1",6.32713348796037
"volunteer 5","I","MAV","OOS","1",8.63694229264512
"volunteer 1","O","MAV","OOS","1",13.7950360677519
"volunteer 2","O","MAV","OOS","1",22.4370191331891
"volunteer 3","O","MAV","OOS","1",13.0107424475784
"volunteer 4","O","MAV","OOS","1",14.375369768151
"volunteer 5","O","MAV","OOS","1",17.7102938174322
"volunteer 1","U","MAV","OOS","1",16.8488959322407
"volunteer 2","U","MAV","OOS","1",45.2277043286457
"volunteer 3","U","MAV","OOS","1",15.7856209993174
