"Participant","Session","Condition","VAS","PANASpos","PANASneg","Vividness","Valence","RRSbrooding","RRSreflection","Verbality","Age","Laterality","Gender"
1,"Baseline","Tapping",13.88,23,15,76.88,99.13,15,18,0.4,18,"D","F"
1,"Post-induction","Tapping",75.75,23,15,76.88,99.13,15,18,0.4,18,"D","F"
1,"Post-motor","Tapping",84.5,23,15,76.88,99.13,15,18,0.4,18,"D","F"
2,"Baseline","Mouthing",83.13,30,14,62.25,36.75,12,12,0.75,18,"D","F"
2,"Post-induction","Mouthing",55,30,14,62.25,36.75,12,12,0.75,18,"D","F"
2,"Post-motor","Mouthing",45.63,30,14,62.25,36.75,12,12,0.75,18,"D","F"
3,"Baseline","Mouthing",12.63,35,12,11,68.88,9,12,2.5,19,"D","F"
3,"Post-induction","Mouthing",38.5,35,12,11,68.88,9,12,2.5,19,"D","F"
3,"Post-motor","Mouthing",0,35,12,11,68.88,9,12,2.5,19,"D","F"
4,"Baseline","Tapping",64.38,21,24,50,40.5,11,19,5,21,"D","F"
4,"Post-induction","Tapping",56,21,24,50,40.5,11,19,5,21,"D","F"
4,"Post-motor","Tapping",48.63,21,24,50,40.5,11,19,5,21,"D","F"
5,"Baseline","Mouthing",76.63,35,28,77.63,3.62,13,13,1,19,"D","F"
5,"Post-induction","Mouthing",76.88,35,28,77.63,3.62,13,13,1,19,"D","F"
5,"Post-motor","Mouthing",77.13,35,28,77.63,3.62,13,13,1,19,"D","F"
6,"Baseline","Tapping",37.75,29,14,80.75,46,11,9,0.5,19,"D","F"
6,"Post-induction","Tapping",17.63,29,14,80.75,46,11,9,0.5,19,"D","F"
6,"Post-motor","Tapping",4.5,29,14,80.75,46,11,9,0.5,19,"D","F"
7,"Baseline","Mouthing",10.63,32,15,38.38,7.12,11,9,1.5,20,"D","F"
7,"Post-induction","Mouthing",74,32,15,38.38,7.12,11,9,1.5,20,"D","F"
7,"Post-motor","Mouthing",57.88,32,15,38.38,7.12,11,9,1.5,20,"D","F"
8,"Baseline","Tapping",0,34,10,37.13,19.63,9,7,2.5,18,"D","F"
8,"Post-induction","Tapping",73.38,34,10,37.13,19.63,9,7,2.5,18,"D","F"
8,"Post-motor","Tapping",95.25,34,10,37.13,19.63,9,7,2.5,18,"D","F"
9,"Baseline","Mouthing",0,31,11,47.63,49.88,11,14,1.33333333333333,21,"D","F"
9,"Post-induction","Mouthing",61.88,31,11,47.63,49.88,11,14,1.33333333333333,21,"D","F"
9,"Post-motor","Mouthing",77,31,11,47.63,49.88,11,14,1.33333333333333,21,"D","F"
10,"Baseline","Tapping",1.25,30,11,47.88,46.63,13,12,1,21,"D","F"
10,"Post-induction","Tapping",4.63,30,11,47.88,46.63,13,12,1,21,"D","F"
10,"Post-motor","Tapping",9.5,30,11,47.88,46.63,13,12,1,21,"D","F"
11,"Baseline","Mouthing",8.75,30,11,6,2,9,17,1.25,19,"D","F"
11,"Post-induction","Mouthing",10.25,30,11,6,2,9,17,1.25,19,"D","F"
11,"Post-motor","Mouthing",6.63,30,11,6,2,9,17,1.25,19,"D","F"
12,"Baseline","Tapping",19.75,28,12,100,14.75,10,11,0.25,19,"D","F"
12,"Post-induction","Tapping",23.25,28,12,100,14.75,10,11,0.25,19,"D","F"
12,"Post-motor","Tapping",14.37,28,12,100,14.75,10,11,0.25,19,"D","F"
13,"Baseline","Tapping",18.88,37,12,83.75,34.63,13,7,1,20,"D","F"
13,"Post-induction","Tapping",38.38,37,12,83.75,34.63,13,7,1,20,"D","F"
13,"Post-motor","Tapping",56.5,37,12,83.75,34.63,13,7,1,20,"D","F"
14,"Baseline","Tapping",40.38,34,11,24.13,6.63,9,9,1.66666666666667,20,"D","F"
14,"Post-induction","Tapping",53.75,34,11,24.13,6.63,9,9,1.66666666666667,20,"D","F"
14,"Post-motor","Tapping",65,34,11,24.13,6.63,9,9,1.66666666666667,20,"D","F"
15,"Baseline","Mouthing",63.5,29,11,81.75,19,11,17,1.25,22,"D","F"
