"","Item","RT","Response","Participant","Condition"
"1",74,1143.41245612013,1,10,"Control"
"2",7,838.644321233005,1,10,"Control"
"4",8,2488.96073691867,1,10,"Control"
"5",17,1908.58330634001,1,10,"Control"
"6",20,1844.65268675558,1,10,"Control"
"7",58,1784.7059646956,1,10,"Control"
"8",62,732.893136930215,1,10,"Control"
"9",35,1232.85925509117,1,10,"Control"
"11",43,1420.57140101315,1,10,"Control"
"12",81,1000.65013984567,1,10,"Control"
"13",39,1268.9021228507,1,10,"Control"
"14",9,1060.82677172526,1,10,"Control"
"15",4,1388.69465699463,1,10,"Control"
"16",23,2094.70765919468,1,10,"Control"
"17",50,1136.89864233675,1,10,"Control"
"18",75,949.031184129126,1,10,"Control"
"19",36,1748.7879584769,1,10,"Control"
"20",30,2109.36942509943,1,10,"Control"
"21",64,1176.8308674873,1,10,"Control"
"22",11,1000.9185153358,1,10,"Control"
"23",55,920.800194624462,1,10,"Control"
"24",2,820.74317452134,1,10,"Control"
"25",61,620.790193894209,1,10,"Control"
"26",5,1916.66998406072,1,10,"Control"
"27",34,696.954959548748,1,10,"Control"
"28",38,1116.70441841488,1,10,"Control"
"29",59,577.480460404331,1,10,"Control"
"30",24,908.697361152008,1,10,"Control"
"32",90,1608.81292958584,1,10,"Control"
"33",53,1624.84047337784,1,10,"Control"
"34",37,848.875112675159,1,10,"Control"
"35",22,1017.03098735743,1,10,"Control"
"36",76,1376.9739298732,1,10,"Control"
"37",78,641.079502307548,1,10,"Control"
"38",32,1536.714063408,1,10,"Control"
"39",65,1952.95801257089,1,10,"Control"
"40",52,729.094000937039,1,10,"Control"
"41",26,1744.88765085698,1,10,"Control"
"42",3,1104.77540826469,1,10,"Control"
"43",19,929.419848936959,1,10,"Control"
"44",13,681.117217824067,1,10,"Control"
"45",69,3402.38552886512,1,10,"Control"
"46",45,1121.8647909991,1,10,"Control"
"47",87,2141.51449948986,1,10,"Control"
"48",80,2256.51940812531,1,10,"Control"
"49",56,621.330424528423,1,10,"Control"
"50",44,1208.79895468897,1,10,"Control"
"51",57,2204.92284610373,1,10,"Control"
"52",70,824.803567302297,1,10,"Control"
"53",29,1396.75130503019,1,10,"Control"
"54",85,897.05252177373,1,10,"Control"
"55",68,788.857218594785,1,10,"Control"
"56",18,1456.62804904714,1,10,"Control"
"57",25,2248.71726808851,1,10,"Control"
"58",21,2021.28871078094,1,10,"Control"
"59",12,1244.81909191309,1,10,"Control"
"60",42,1528.80018045107,1,10,"Control"
"61",89,920.743783324724,1,10,"Control"
"63",60,1196.89092471526,1,10,"Control"
"65",71,888.779016382614,1,10,"Control"
"66",54,1248.53650565274,1,10,"Control"
"67",84,1300.77162184534,1,10,"Control"
"68",15,1200.72232796156,1,10,"Control"
"69",63,732.850532967859,1,10,"Control"
"70",27,1532.68172741082,1,10,"Control"
"71",73,816.655272326898,1,10,"Control"
"72",14,917.04901590856,1,10,"Control"
"73",82,1140.80473334252,1,10,"Control"
"74",16,692.666181748791,1,10,"Control"
"75",10,1232.78611919159,1,10,"Control"
"76",33,676.934940904175,1,10,"Control"
"77",66,3272.66051221523,1,10,"Control"
"78",6,1604.57024742936,1,10,"Control"
"79",79,852.631641697371,1,10,"Control"
"80",51,936.801284620742,1,10,"Control"
"81",28,1520.54020571086,1,10,"Control"
"82",83,664.617313203053,1,10,"Control"
"83",86,1152.87415973216,1,10,"Control"
"84",31,1812.72928469116,1,10,"Control"
"85",67,1132.89813149822,1,10,"Control"
"86",1,1817.42231292446,1,10,"Control"
"87",40,1405.27023281902,1,10,"Control"
"88",72,909.552038854599,1,10,"Control"
"89",77,1136.61693168251,1,10,"Control"
"90",41,644.635336171632,1,10,"Control"
"91",51,949.29795061762,1,10,"Foot"
"92",5,592.825366376928,1,10,"Foot"
"93",87,1268.39135650152,1,10,"Foot"
"94",39,1012.51212530042,1,10,"Foot"
"95",55,748.488244189502,1,10,"Foot"
"96",34,912.518839711993,1,10,"Foot"
"97",44,860.510679991421,1,10,"Foot"
"98",24,1032.37516251102,1,10,"Foot"
"99",38,572.547835257865,1,10,"Foot"
"100",74,792.671593491832,1,10,"Foot"
"101",57,776.557061348285,1,10,"Foot"
"102",65,792.759658521391,1,10,"Foot"
"103",23,1304.71192895493,1,10,"Foot"
"104",56,832.503344747238,1,10,"Foot"
"105",81,904.645193833858,1,10,"Foot"
"106",64,1760.77288369925,1,10,"Foot"
"107",79,2084.53281891343,1,10,"Foot"
"108",41,1308.48850885013,1,10,"Foot"
"109",31,3172.68500384307,1,10,"Foot"
"110",90,1216.93979110933,1,10,"Foot"
"111",69,1028.75277912608,1,10,"Foot"
"112",36,1472.53463499874,1,10,"Foot"
"113",71,968.753636687325,1,10,"Foot"
"114",85,1396.61670826899,1,10,"Foot"
"115",37,1672.56999952951,1,10,"Foot"
"116",15,1016.92735861434,1,10,"Foot"
"117",83,636.593072911637,1,10,"Foot"
"119",61,656.283889788028,1,10,"Foot"
"120",18,1172.49207829809,1,10,"Foot"
"121",53,740.787441194698,1,10,"Foot"
"122",58,764.661058288766,1,10,"Foot"
"123",88,796.905505834729,1,10,"Foot"
"124",60,888.758400105871,1,10,"Foot"
"125",82,1687.91484835674,1,10,"Foot"
"126",1,972.637246781233,1,10,"Foot"
"127",16,1004.53782507611,1,10,"Foot"
"128",4,1964.74210429369,1,10,"Foot"
"129",30,1049.05091749606,1,10,"Foot"
"131",10,568.441013005213,1,10,"Foot"
"133",13,1108.50332112022,1,10,"Foot"
"134",35,1436.73797158408,1,10,"Foot"
"135",75,869.026892029069,1,10,"Foot"
"136",77,776.738430438854,1,10,"Foot"
"137",40,1508.38858188945,1,10,"Foot"
"138",70,1400.7260477847,1,10,"Foot"
"139",54,895.883360899461,1,10,"Foot"
"140",73,948.55480230035,1,10,"Foot"
"141",19,759.896382860461,1,10,"Foot"
"142",50,1112.6421008521,1,10,"Foot"
"143",86,544.865479285363,1,10,"Foot"
"145",6,1364.50829806563,1,10,"Foot"
"146",27,872.739511843974,1,10,"Foot"
"147",32,772.691324706102,1,10,"Foot"
"148",66,556.852118770621,1,10,"Foot"
"149",59,796.448681649053,1,10,"Foot"
"150",26,1560.41232035568,1,10,"Foot"
"151",25,864.674081967678,1,10,"Foot"
"152",12,1632.49463035754,1,10,"Foot"
"153",29,1180.5552315127,1,10,"Foot"
"154",21,676.807853822538,1,10,"Foot"
"155",3,852.779600692884,1,10,"Foot"
"156",43,2016.75362938113,1,10,"Foot"
"157",76,1996.747757923,1,10,"Foot"
"159",22,1524.8028455062,1,10,"Foot"
"160",62,573.046355151746,1,10,"Foot"
"161",45,860.702755708189,1,10,"Foot"
"162",72,612.347911734105,1,10,"Foot"
"163",80,1356.60955776984,1,10,"Foot"
"164",17,1324.66896495316,1,10,"Foot"
"165",68,612.425637049455,1,10,"Foot"
"166",9,1244.79574785437,1,10,"Foot"
"167",89,1152.67856826904,1,10,"Foot"
"168",8,1892.48045825661,1,10,"Foot"
"169",84,916.274893559603,1,10,"Foot"
"170",42,1952.32932292856,1,10,"Foot"
"171",28,728.679353651387,1,10,"Foot"
"172",33,752.576041122666,1,10,"Foot"
"173",7,652.010474193958,1,10,"Foot"
"174",14,920.205017337139,1,10,"Foot"
"175",67,1948.80405107688,1,10,"Foot"
"176",2,613.048967359646,1,10,"Foot"
"177",63,928.76060330309,1,10,"Foot"
"178",52,832.472695517936,1,10,"Foot"
"179",78,680.608893548197,1,10,"Foot"
"180",11,612.774258119316,1,10,"Foot"
"181",71,2111.06597465914,1,10,"Finger"
"182",56,759.735422529047,1,10,"Finger"
"183",12,1667.98197445314,1,10,"Finger"
"184",51,723.83659200932,1,10,"Finger"
"185",1,1163.87114881582,1,10,"Finger"
"186",38,726.548554044712,1,10,"Finger"
"187",84,869.740666286816,1,10,"Finger"
"188",11,601.903805749316,1,10,"Finger"
"189",36,867.801488271652,1,10,"Finger"
"190",88,671.6977512624,1,10,"Finger"
"191",37,1066.58861625692,1,10,"Finger"
"192",60,1625.69089550016,1,10,"Finger"
"193",62,913.790838356363,1,10,"Finger"
"194",26,2072.06752695129,1,10,"Finger"
"195",2,1064.44038830887,1,10,"Finger"
"196",14,712.578406291868,1,10,"Finger"
"198",13,626.327635305643,1,10,"Finger"
"199",80,1321.83876384079,1,10,"Finger"
"200",70,734.622284566285,1,10,"Finger"
"201",85,1189.77902540428,1,10,"Finger"
"202",61,743.941277232807,1,10,"Finger"
"203",32,1041.86571988248,1,10,"Finger"
"204",76,1393.71580731677,1,10,"Finger"
"205",33,1168.60802911106,1,10,"Finger"
"206",6,1432.09123147972,1,10,"Finger"
"207",30,2420.49653968206,1,10,"Finger"
"208",87,1122.49377838452,1,10,"Finger"
"209",81,977.940035576466,1,10,"Finger"
"210",72,990.038766849466,1,10,"Finger"
"211",22,611.677664732269,1,10,"Finger"
"212",74,1490.05793695324,1,10,"Finger"
"213",19,2225.65044360454,1,10,"Finger"
"214",3,650.440301949857,1,10,"Finger"
"215",82,753.884881396516,1,10,"Finger"
"216",57,661.856467588223,1,10,"Finger"
"217",41,915.885996313591,1,10,"Finger"
"219",53,843.850362398371,1,10,"Finger"
"220",23,743.820695326576,1,10,"Finger"
"221",65,936.306752650125,1,10,"Finger"
"222",59,577.888710780826,1,10,"Finger"
"223",20,1261.87822842257,1,10,"Finger"
"224",18,1036.3286544125,1,10,"Finger"
"225",45,1134.10010397274,1,10,"Finger"
"226",58,979.70025950417,1,10,"Finger"
"227",43,1655.98398473958,1,10,"Finger"
"228",24,1904.50784608402,1,10,"Finger"
"229",78,955.700896658527,1,10,"Finger"
"230",75,1995.88487280562,1,10,"Finger"
"231",7,1396.53805966009,1,10,"Finger"
"232",10,871.789091012033,1,10,"Finger"
"233",28,613.864788425417,1,10,"Finger"
"234",69,606.586629601225,1,10,"Finger"
"235",35,598.628142710368,1,10,"Finger"
"236",25,593.921466534084,1,10,"Finger"
"237",15,2138.54430319043,1,10,"Finger"
"238",86,1195.91583953661,1,10,"Finger"
"239",5,1540.80343927126,1,10,"Finger"
"240",9,1793.86189780416,1,10,"Finger"
"241",73,1037.76941479009,1,10,"Finger"
"242",4,1087.84955725423,1,10,"Finger"
"244",8,2395.79916478033,1,10,"Finger"
"245",79,1251.84673065451,1,10,"Finger"
"246",27,984.157014088851,1,10,"Finger"
"247",54,1226.07757708829,1,10,"Finger"
"248",55,647.944815322262,1,10,"Finger"
"249",39,1060.35266957042,1,10,"Finger"
"250",40,866.167770986067,1,10,"Finger"
"251",90,661.759578611964,1,10,"Finger"
"252",66,1059.74161879931,1,10,"Finger"
"254",67,1089.86388918856,1,10,"Finger"
"255",16,2071.90365236966,1,10,"Finger"
"256",21,1329.98424381003,1,10,"Finger"
"257",64,1868.55694104815,1,10,"Finger"
"258",77,1846.64071225416,1,10,"Finger"
